Year;Datetime;Stage;Stadium;City;Home Team Name;Home Team Goals;Away Team Goals;Away Team Name;Win conditions;Attendance;Half-time Home Goals;Half-time Away Goals;Referee;Assistant 1;Assistant 2;RoundID;MatchID;Home Team Initials;Away Team Initials;Selecao analisada;Gols Pro torneio;Gols Contra torneio
2014.0;12 Jun 2014 - 17:00 ;Group A;Arena de Sao Paulo;Sao Paulo ;Brazil;3.0;1.0;Croatia; ;62103.0;1.0;1.0;NISHIMURA Yuichi (JPN);SAGARA Toru (JPN);NAGI Toshiyuki (JPN);255931.0;300186456.0;BRA;CRO;Brazil;11.0;14.0
2014.0;13 Jun 2014 - 13:00 ;Group A;Estadio das Dunas;Natal ;Mexico;1.0;0.0;Cameroon; ;39216.0;0.0;0.0;ROLDAN Wilmar (COL);CLAVIJO Humberto (COL);DIAZ Eduardo (COL);255931.0;300186492.0;MEX;CMR;Mexico;5.0;3.0
2014.0;13 Jun 2014 - 16:00 ;Group B;Arena Fonte Nova;Salvador ;Spain;1.0;5.0;Netherlands; ;48173.0;1.0;1.0;Nicola RIZZOLI (ITA);Renato FAVERANI (ITA);Andrea STEFANI (ITA);255931.0;300186510.0;ESP;NED;Spain;4.0;7.0
2014.0;13 Jun 2014 - 18:00 ;Group B;Arena Pantanal;Cuiaba ;Chile;3.0;1.0;Australia; ;40275.0;2.0;1.0;Noumandiez DOUE (CIV);YEO Songuifolo (CIV);BIRUMUSHAHU Jean Claude (BDI);255931.0;300186473.0;CHI;AUS;Chile;6.0;4.0
2014.0;14 Jun 2014 - 13:00 ;Group C;Estadio Mineirao;Belo Horizonte ;Colombia;3.0;0.0;Greece; ;57174.0;1.0;0.0;GEIGER Mark (USA);HURD Sean (USA);FLETCHER Joe (CAN);255931.0;300186471.0;COL;GRE;Colombia;12.0;4.0
2014.0;14 Jun 2014 - 16:00 ;Group D;Estadio Castelao;Fortaleza ;Uruguay;1.0;3.0;Costa Rica; ;58679.0;1.0;0.0;BRYCH Felix (GER);BORSCH Mark (GER);LUPP Stefan (GER);255931.0;300186489.0;URU;CRC;Uruguay;4.0;6.0
2014.0;14 Jun 2014 - 18:00 ;Group D;Arena Amazonia;Manaus ;England;1.0;2.0;Italy; ;39800.0;1.0;1.0;Bj�rn KUIPERS (NED);Sander VAN ROEKEL (NED);Erwin ZEINSTRA (NED);255931.0;300186513.0;ENG;ITA;England;2.0;4.0
2014.0;14 Jun 2014 - 22:00 ;Group C;Arena Pernambuco;Recife ;C�te d'Ivoire;2.0;1.0;Japan; ;40267.0;0.0;1.0;OSSES Enrique (CHI);ASTROZA Carlos (CHI);ROMAN Sergio (CHI);255931.0;300186507.0;CIV;JPN;C�te d'Ivoire;4.0;5.0
2014.0;15 Jun 2014 - 13:00 ;Group E;Estadio Nacional;Brasilia ;Switzerland;2.0;1.0;Ecuador; ;68351.0;0.0;1.0;Ravshan IRMATOV (UZB);RASULOV Abduxamidullo (UZB);KOCHKAROV Bakhadyr (KGZ);255931.0;300186494.0;SUI;ECU;Switzerland;7.0;7.0
2014.0;15 Jun 2014 - 16:00 ;Group E;Estadio Beira-Rio;Porto Alegre ;France;3.0;0.0;Honduras; ;43012.0;1.0;0.0;RICCI Sandro (BRA);DE CARVALHO Emerson (BRA);VAN GASSE Marcelo (BRA);255931.0;300186496.0;FRA;HON;France;10.0;3.0
2014.0;15 Jun 2014 - 19:00 ;Group F;Estadio do Maracana;Rio De Janeiro ;Argentina;2.0;1.0;"rn"">Bosnia and Herzegovina"; ;74738.0;1.0;0.0;AGUILAR Joel (SLV);TORRES William (SLV);ZUMBA Juan (SLV);255931.0;300186477.0;ARG;BIH;Argentina;8.0;4.0
2014.0;16 Jun 2014 - 13:00 ;Group G;Arena Fonte Nova;Salvador ;Germany;4.0;0.0;Portugal; ;51081.0;3.0;0.0;MAZIC Milorad (SRB);RISTIC Milovan (SRB);DJURDJEVIC Dalibor (SRB);255931.0;300186475.0;GER;POR;Germany;16.0;3.0
2014.0;16 Jun 2014 - 16:00 ;Group F;Arena da Baixada;Curitiba ;IR Iran;0.0;0.0;Nigeria; ;39081.0;0.0;0.0;VERA Carlos (ECU);LESCANO Christian (ECU);ROMERO Byron (ECU);255931.0;300186505.0;IRN;NGA;IR Iran;1.0;4.0
2014.0;16 Jun 2014 - 19:00 ;Group G;Estadio das Dunas;Natal ;Ghana;1.0;2.0;USA; ;39760.0;0.0;1.0;ERIKSSON Jonas (SWE);KLASENIUS Mathias (SWE);WARNMARK Daniel (SWE);255931.0;300186512.0;GHA;USA;Ghana;4.0;6.0
2014.0;17 Jun 2014 - 13:00 ;Group H;Estadio Mineirao;Belo Horizonte ;Belgium;2.0;1.0;Algeria; ;56800.0;0.0;1.0;RODRIGUEZ Marco (MEX);TORRENTERA Marvin (MEX);QUINTERO Marcos (MEX);255931.0;300186479.0;BEL;ALG;Belgium;6.0;3.0
2014.0;17 Jun 2014 - 16:00 ;Group A;Estadio Castelao;Fortaleza ;Brazil;0.0;0.0;Mexico; ;60342.0;0.0;0.0;C�neyt �AKIR (TUR);DURAN Bahattin (TUR);ONGUN Tarik (TUR);255931.0;300186509.0;BRA;MEX;Brazil;11.0;14.0
2014.0;17 Jun 2014 - 18:00 ;Group H;Arena Pantanal;Cuiaba ;Russia;1.0;1.0;Korea Republic; ;37603.0;0.0;0.0;PITANA Nestor (ARG);MAIDANA Hernan (ARG);BELATTI Juan Pablo (ARG);255931.0;300186499.0;RUS;KOR;Russia;2.0;3.0
2014.0;18 Jun 2014 - 13:00 ;Group B;Estadio Beira-Rio;Porto Alegre ;Australia;2.0;3.0;Netherlands; ;42877.0;1.0;1.0;HAIMOUDI Djamel (ALG);ACHIK Redouane (MAR);ETCHIALI Abdelhak (ALG);255931.0;300186478.0;AUS;NED;Australia;3.0;9.0
2014.0;18 Jun 2014 - 16:00 ;Group B;Estadio do Maracana;Rio De Janeiro ;Spain;0.0;2.0;Chile; ;74101.0;0.0;2.0;GEIGER Mark (USA);HURD Sean (USA);FLETCHER Joe (CAN);255931.0;300186498.0;ESP;CHI;Spain;4.0;7.0
2014.0;18 Jun 2014 - 18:00 ;Group A;Arena Amazonia;Manaus ;Cameroon;0.0;4.0;Croatia; ;39982.0;0.0;1.0;PROENCA Pedro (POR);MIRANDA Bertino (POR);TRIGO Jose (POR);255931.0;300186453.0;CMR;CRO;Cameroon;1.0;9.0
2014.0;19 Jun 2014 - 13:00 ;Group C;Estadio Nacional;Brasilia ;Colombia;2.0;1.0;C�te d'Ivoire; ;68748.0;0.0;0.0;WEBB Howard (ENG);MULLARKEY Michael (ENG);Darren CANN (ENG);255931.0;300186468.0;COL;CIV;Colombia;12.0;4.0
2014.0;19 Jun 2014 - 16:00 ;Group D;Arena de Sao Paulo;Sao Paulo ;Uruguay;2.0;1.0;England; ;62575.0;1.0;0.0;Carlos VELASCO CARBALLO (ESP);ALONSO FERNANDEZ Roberto (ESP);YUSTE Juan (ESP);255931.0;300186486.0;URU;ENG;Uruguay;4.0;6.0
2014.0;19 Jun 2014 - 19:00 ;Group C;Estadio das Dunas;Natal ;Japan;0.0;0.0;Greece; ;39485.0;0.0;0.0;AGUILAR Joel (SLV);TORRES William (SLV);ZUMBA Juan (SLV);255931.0;300186454.0;JPN;GRE;Japan;2.0;6.0
2014.0;20 Jun 2014 - 13:00 ;Group D;Arena Pernambuco;Recife ;Italy;0.0;1.0;Costa Rica; ;40285.0;0.0;1.0;OSSES Enrique (CHI);ASTROZA Carlos (CHI);ROMAN Sergio (CHI);255931.0;300186500.0;ITA;CRC;Italy;2.0;3.0
2014.0;20 Jun 2014 - 16:00 ;Group E;Arena Fonte Nova;Salvador ;Switzerland;2.0;5.0;France; ;51003.0;0.0;3.0;Bj�rn KUIPERS (NED);Sander VAN ROEKEL (NED);Erwin ZEINSTRA (NED);255931.0;300186514.0;SUI;FRA;Switzerland;7.0;7.0
2014.0;20 Jun 2014 - 19:00 ;Group E;Arena da Baixada;Curitiba ;Honduras;1.0;2.0;Ecuador; ;39224.0;1.0;1.0;Ben WILLIAMS (AUS);CREAM Matthew (AUS);ANAZ Hakan (AUS);255931.0;300186463.0;HON;ECU;Honduras;1.0;8.0
2014.0;21 Jun 2014 - 13:00 ;Group F;Estadio Mineirao;Belo Horizonte ;Argentina;1.0;0.0;IR Iran; ;57698.0;0.0;0.0;MAZIC Milorad (SRB);RISTIC Milovan (SRB);DJURDJEVIC Dalibor (SRB);255931.0;300186466.0;ARG;IRN;Argentina;8.0;4.0
2014.0;21 Jun 2014 - 16:00 ;Group G;Estadio Castelao;Fortaleza ;Germany;2.0;2.0;Ghana; ;59621.0;0.0;0.0;RICCI Sandro (BRA);DE CARVALHO Emerson (BRA);VAN GASSE Marcelo (BRA);255931.0;300186493.0;GER;GHA;Germany;16.0;3.0
2014.0;21 Jun 2014 - 18:00 ;Group F;Arena Pantanal;Cuiaba ;Nigeria;1.0;0.0;"rn"">Bosnia and Herzegovina"; ;40499.0;1.0;0.0;Peter O'LEARY (NZL);HINTZ Jan Hendrik (NZL);RULE Mark (NZL);255931.0;300186511.0;NGA;BIH;Nigeria;3.0;5.0
2014.0;22 Jun 2014 - 13:00 ;Group H;Estadio do Maracana;Rio De Janeiro ;Belgium;1.0;0.0;Russia; ;73819.0;0.0;0.0;BRYCH Felix (GER);BORSCH Mark (GER);LUPP Stefan (GER);255931.0;300186481.0;BEL;RUS;Belgium;6.0;3.0
2014.0;22 Jun 2014 - 16:00 ;Group H;Estadio Beira-Rio;Porto Alegre ;Korea Republic;2.0;4.0;Algeria; ;42732.0;0.0;3.0;ROLDAN Wilmar (COL);DIAZ Eduardo (COL);LESCANO Christian (ECU);255931.0;300186495.0;KOR;ALG;Korea Republic;3.0;6.0
2014.0;22 Jun 2014 - 18:00 ;Group G;Arena Amazonia;Manaus ;USA;2.0;2.0;Portugal; ;40123.0;0.0;1.0;PITANA Nestor (ARG);MAIDANA Hernan (ARG);BELATTI Juan Pablo (ARG);255931.0;300186483.0;USA;POR;USA;5.0;6.0
2014.0;23 Jun 2014 - 13:00 ;Group B;Arena da Baixada;Curitiba ;Australia;0.0;3.0;Spain; ;39375.0;0.0;1.0;SHUKRALLA Nawaf (BHR);TULEFAT Yaser (BHR);SALEH Ebrahim (BHR);255931.0;300186467.0;AUS;ESP;Australia;3.0;9.0
2014.0;23 Jun 2014 - 13:00 ;Group B;Arena de Sao Paulo;Sao Paulo ;Netherlands;2.0;0.0;Chile; ;62996.0;0.0;0.0;Bakary GASSAMA (GAM);MENKOUANDE Evarist (CMR);KABANDA Felicien (RWA);255931.0;300186470.0;NED;CHI;Netherlands;15.0;4.0
2014.0;23 Jun 2014 - 17:00 ;Group A;Estadio Nacional;Brasilia ;Cameroon;1.0;4.0;Brazil; ;69112.0;1.0;2.0;ERIKSSON Jonas (SWE);KLASENIUS Mathias (SWE);WARNMARK Daniel (SWE);255931.0;300186472.0;CMR;BRA;Cameroon;1.0;9.0
2014.0;23 Jun 2014 - 17:00 ;Group A;Arena Pernambuco;Recife ;Croatia;1.0;3.0;Mexico; ;41212.0;0.0;0.0;Ravshan IRMATOV (UZB);RASULOV Abduxamidullo (UZB);KOCHKAROV Bakhadyr (KGZ);255931.0;300186452.0;CRO;MEX;Croatia;6.0;6.0
2014.0;24 Jun 2014 - 13:00 ;Group D;Estadio das Dunas;Natal ;Italy;0.0;1.0;Uruguay; ;39706.0;0.0;0.0;RODRIGUEZ Marco (MEX);TORRENTERA Marvin (MEX);QUINTERO Marcos (MEX);255931.0;300186465.0;ITA;URU;Italy;2.0;3.0
2014.0;24 Jun 2014 - 13:00 ;Group D;Estadio Mineirao;Belo Horizonte ;Costa Rica;0.0;0.0;England; ;57823.0;0.0;0.0;HAIMOUDI Djamel (ALG);ACHIK Redouane (MAR);ETCHIALI Abdelhak (ALG);255931.0;300186484.0;CRC;ENG;Costa Rica;5.0;2.0
2014.0;24 Jun 2014 - 16:00 ;Group C;Arena Pantanal;Cuiaba ;Japan;1.0;4.0;Colombia; ;40340.0;1.0;1.0;PROENCA Pedro (POR);MIRANDA Bertino (POR);TRIGO Jose (POR);255931.0;300186457.0;JPN;COL;Japan;2.0;6.0
2014.0;24 Jun 2014 - 17:00 ;Group C;Estadio Castelao;Fortaleza ;Greece;2.0;1.0;C�te d'Ivoire; ;59095.0;1.0;0.0;VERA Carlos (ECU);LESCANO Christian (ECU);ROMERO Byron (ECU);255931.0;300186455.0;GRE;CIV;Greece;3.0;5.0
2014.0;25 Jun 2014 - 13:00 ;Group F;Estadio Beira-Rio;Porto Alegre ;Nigeria;2.0;3.0;Argentina; ;43285.0;1.0;2.0;Nicola RIZZOLI (ITA);Renato FAVERANI (ITA);Andrea STEFANI (ITA);255931.0;300186458.0;NGA;ARG;Nigeria;3.0;5.0
2014.0;25 Jun 2014 - 13:00 ;Group F;Arena Fonte Nova;Salvador ;"rn"">Bosnia and Herzegovina";3.0;1.0;IR Iran; ;48011.0;1.0;0.0;Carlos VELASCO CARBALLO (ESP);ALONSO FERNANDEZ Roberto (ESP);YUSTE Juan (ESP);255931.0;300186464.0;BIH;IRN;"rn"">Bosnia and Herzegovina";4.0;4.0
2014.0;25 Jun 2014 - 16:00 ;Group E;Arena Amazonia;Manaus ;Honduras;0.0;3.0;Switzerland; ;40322.0;0.0;2.0;PITANA Nestor (ARG);MAIDANA Hernan (ARG);BELATTI Juan Pablo (ARG);255931.0;300186482.0;HON;SUI;Honduras;1.0;8.0
2014.0;25 Jun 2014 - 17:00 ;Group E;Estadio do Maracana;Rio De Janeiro ;Ecuador;0.0;0.0;France; ;73749.0;0.0;0.0;Noumandiez DOUE (CIV);YEO Songuifolo (CIV);BIRUMUSHAHU Jean Claude (BDI);255931.0;300186515.0;ECU;FRA;Ecuador;3.0;3.0
2014.0;26 Jun 2014 - 13:00 ;Group G;Arena Pernambuco;Recife ;USA;0.0;1.0;Germany; ;41876.0;0.0;0.0;Ravshan IRMATOV (UZB);RASULOV Abduxamidullo (UZB);KOCHKAROV Bakhadyr (KGZ);255931.0;300186469.0;USA;GER;USA;5.0;6.0
2014.0;26 Jun 2014 - 13:00 ;Group G;Estadio Nacional;Brasilia ;Portugal;2.0;1.0;Ghana; ;67540.0;1.0;0.0;SHUKRALLA Nawaf (BHR);TULEFAT Yaser (BHR);SALEH Ebrahim (BHR);255931.0;300186476.0;POR;GHA;Portugal;4.0;7.0
2014.0;26 Jun 2014 - 17:00 ;Group H;Arena de Sao Paulo;Sao Paulo ;Korea Republic;0.0;1.0;Belgium; ;61397.0;0.0;0.0;Ben WILLIAMS (AUS);CREAM Matthew (AUS);ANAZ Hakan (AUS);255931.0;300186480.0;KOR;BEL;Korea Republic;3.0;6.0
2014.0;26 Jun 2014 - 17:00 ;Group H;Arena da Baixada;Curitiba ;Algeria;1.0;1.0;Russia; ;39311.0;0.0;1.0;C�neyt �AKIR (TUR);DURAN Bahattin (TUR);ONGUN Tarik (TUR);255931.0;300186506.0;ALG;RUS;Algeria;6.0;5.0
2014.0;28 Jun 2014 - 13:00 ;Round of 16;Estadio Mineirao;Belo Horizonte ;Brazil;1.0;1.0;Chile;Brazil win on penalties (3 - 2) ;57714.0;0.0;0.0;WEBB Howard (ENG);MULLARKEY Michael (ENG);Darren CANN (ENG);255951.0;300186487.0;BRA;CHI;Brazil;11.0;14.0
2014.0;28 Jun 2014 - 17:00 ;Round of 16;Estadio do Maracana;Rio De Janeiro ;Colombia;2.0;0.0;Uruguay; ;73804.0;1.0;0.0;Bj�rn KUIPERS (NED);Sander VAN ROEKEL (NED);Erwin ZEINSTRA (NED);255951.0;300186491.0;COL;URU;Colombia;12.0;4.0
2014.0;30 Jun 2014 - 13:00 ;Round of 16;Estadio Nacional;Brasilia ;France;2.0;0.0;Nigeria; ;67882.0;0.0;0.0;GEIGER Mark (USA);HURD Sean (USA);FLETCHER Joe (CAN);255951.0;300186462.0;FRA;NGA;France;10.0;3.0
2014.0;04 Jul 2014 - 17:00 ;Quarter-finals;Estadio Castelao;Fortaleza ;Brazil;2.0;1.0;Colombia; ;60342.0;1.0;0.0;Carlos VELASCO CARBALLO (ESP);ALONSO FERNANDEZ Roberto (ESP);YUSTE Juan (ESP);255953.0;300186461.0;BRA;COL;Brazil;11.0;14.0
2014.0;04 Jul 2014 - 13:00 ;Quarter-finals;Estadio do Maracana;Rio De Janeiro ;France;0.0;1.0;Germany; ;74240.0;0.0;1.0;PITANA Nestor (ARG);MAIDANA Hernan (ARG);BELATTI Juan Pablo (ARG);255953.0;300186485.0;FRA;GER;France;10.0;3.0
2014.0;08 Jul 2014 - 17:00 ;Semi-finals;Estadio Mineirao;Belo Horizonte ;Brazil;1.0;7.0;Germany; ;58141.0;0.0;5.0;RODRIGUEZ Marco (MEX);TORRENTERA Marvin (MEX);QUINTERO Marcos (MEX);255955.0;300186474.0;BRA;GER;Brazil;11.0;14.0
2014.0;12 Jul 2014 - 17:00 ;Play-off for third place;Estadio Nacional;Brasilia ;Brazil;0.0;3.0;Netherlands; ;68034.0;0.0;2.0;HAIMOUDI Djamel (ALG);ACHIK Redouane (MAR);ETCHIALI Abdelhak (ALG);255957.0;300186502.0;BRA;NED;Brazil;11.0;14.0
2014.0;13 Jul 2014 - 16:00 ;Final;Estadio do Maracana;Rio De Janeiro ;Germany;1.0;0.0;Argentina;Germany win after extra time ;74738.0;0.0;0.0;Nicola RIZZOLI (ITA);Renato FAVERANI (ITA);Andrea STEFANI (ITA);255959.0;300186501.0;GER;ARG;Germany;16.0;3.0
2014.0;09 Jul 2014 - 17:00 ;Semi-finals;Arena de Sao Paulo;Sao Paulo ;Netherlands;0.0;0.0;Argentina;Argentina win on penalties (2 - 4) ;63267.0;0.0;0.0;C�neyt �AKIR (TUR);DURAN Bahattin (TUR);ONGUN Tarik (TUR);255955.0;300186490.0;NED;ARG;Netherlands;15.0;4.0
2014.0;05 Jul 2014 - 17:00 ;Quarter-finals;Arena Fonte Nova;Salvador ;Netherlands;0.0;0.0;Costa Rica;Netherlands win on penalties (4 - 3) ;51179.0;0.0;0.0;Ravshan IRMATOV (UZB);RASULOV Abduxamidullo (UZB);KOCHKAROV Bakhadyr (KGZ);255953.0;300186488.0;NED;CRC;Netherlands;15.0;4.0
2014.0;05 Jul 2014 - 13:00 ;Quarter-finals;Estadio Nacional;Brasilia ;Argentina;1.0;0.0;Belgium; ;68551.0;1.0;0.0;Nicola RIZZOLI (ITA);Renato FAVERANI (ITA);Andrea STEFANI (ITA);255953.0;300186504.0;ARG;BEL;Argentina;8.0;4.0
2014.0;29 Jun 2014 - 13:00 ;Round of 16;Estadio Castelao;Fortaleza ;Netherlands;2.0;1.0;Mexico; ;58817.0;0.0;0.0;PROENCA Pedro (POR);MIRANDA Bertino (POR);TRIGO Jose (POR);255951.0;300186508.0;NED;MEX;Netherlands;15.0;4.0
2014.0;29 Jun 2014 - 17:00 ;Round of 16;Arena Pernambuco;Recife ;Costa Rica;1.0;1.0;Greece;Costa Rica win on penalties (5 - 3) ;41242.0;0.0;0.0;Ben WILLIAMS (AUS);CREAM Matthew (AUS);ANAZ Hakan (AUS);255951.0;300186459.0;CRC;GRE;Costa Rica;5.0;2.0
2014.0;01 Jul 2014 - 13:00 ;Round of 16;Arena de Sao Paulo;Sao Paulo ;Argentina;1.0;0.0;Switzerland;Argentina win after extra time ;63255.0;0.0;0.0;ERIKSSON Jonas (SWE);KLASENIUS Mathias (SWE);WARNMARK Daniel (SWE);255951.0;300186503.0;ARG;SUI;Argentina;8.0;4.0
2014.0;01 Jul 2014 - 17:00 ;Round of 16;Arena Fonte Nova;Salvador ;Belgium;2.0;1.0;USA;Belgium win after extra time ;51227.0;0.0;0.0;HAIMOUDI Djamel (ALG);ACHIK Redouane (MAR);ETCHIALI Abdelhak (ALG);255951.0;300186497.0;BEL;USA;Belgium;6.0;3.0
2014.0;28 Jun 2014 - 13:00 ;Round of 16;Estadio Mineirao;Belo Horizonte ;Brazil;1.0;1.0;Chile;Brazil win on penalties (3 - 2) ;57714.0;0.0;0.0;WEBB Howard (ENG);MULLARKEY Michael (ENG);Darren CANN (ENG);255951.0;300186487.0;BRA;CHI;Brazil;11.0;14.0
2014.0;28 Jun 2014 - 17:00 ;Round of 16;Estadio do Maracana;Rio De Janeiro ;Colombia;2.0;0.0;Uruguay; ;73804.0;1.0;0.0;Bj�rn KUIPERS (NED);Sander VAN ROEKEL (NED);Erwin ZEINSTRA (NED);255951.0;300186491.0;COL;URU;Colombia;12.0;4.0
2014.0;29 Jun 2014 - 13:00 ;Round of 16;Estadio Castelao;Fortaleza ;Netherlands;2.0;1.0;Mexico; ;58817.0;0.0;0.0;PROENCA Pedro (POR);MIRANDA Bertino (POR);TRIGO Jose (POR);255951.0;300186508.0;NED;MEX;Netherlands;15.0;4.0
2014.0;29 Jun 2014 - 17:00 ;Round of 16;Arena Pernambuco;Recife ;Costa Rica;1.0;1.0;Greece;Costa Rica win on penalties (5 - 3) ;41242.0;0.0;0.0;Ben WILLIAMS (AUS);CREAM Matthew (AUS);ANAZ Hakan (AUS);255951.0;300186459.0;CRC;GRE;Costa Rica;5.0;2.0
2014.0;30 Jun 2014 - 13:00 ;Round of 16;Estadio Nacional;Brasilia ;France;2.0;0.0;Nigeria; ;67882.0;0.0;0.0;GEIGER Mark (USA);HURD Sean (USA);FLETCHER Joe (CAN);255951.0;300186462.0;FRA;NGA;France;10.0;3.0
2014.0;01 Jul 2014 - 13:00 ;Round of 16;Arena de Sao Paulo;Sao Paulo ;Argentina;1.0;0.0;Switzerland;Argentina win after extra time ;63255.0;0.0;0.0;ERIKSSON Jonas (SWE);KLASENIUS Mathias (SWE);WARNMARK Daniel (SWE);255951.0;300186503.0;ARG;SUI;Argentina;8.0;4.0
2014.0;01 Jul 2014 - 17:00 ;Round of 16;Arena Fonte Nova;Salvador ;Belgium;2.0;1.0;USA;Belgium win after extra time ;51227.0;0.0;0.0;HAIMOUDI Djamel (ALG);ACHIK Redouane (MAR);ETCHIALI Abdelhak (ALG);255951.0;300186497.0;BEL;USA;Belgium;6.0;3.0
2014.0;04 Jul 2014 - 13:00 ;Quarter-finals;Estadio do Maracana;Rio De Janeiro ;France;0.0;1.0;Germany; ;74240.0;0.0;1.0;PITANA Nestor (ARG);MAIDANA Hernan (ARG);BELATTI Juan Pablo (ARG);255953.0;300186485.0;FRA;GER;France;10.0;3.0
2014.0;04 Jul 2014 - 17:00 ;Quarter-finals;Estadio Castelao;Fortaleza ;Brazil;2.0;1.0;Colombia; ;60342.0;1.0;0.0;Carlos VELASCO CARBALLO (ESP);ALONSO FERNANDEZ Roberto (ESP);YUSTE Juan (ESP);255953.0;300186461.0;BRA;COL;Brazil;11.0;14.0
2014.0;05 Jul 2014 - 13:00 ;Quarter-finals;Estadio Nacional;Brasilia ;Argentina;1.0;0.0;Belgium; ;68551.0;1.0;0.0;Nicola RIZZOLI (ITA);Renato FAVERANI (ITA);Andrea STEFANI (ITA);255953.0;300186504.0;ARG;BEL;Argentina;8.0;4.0
2014.0;05 Jul 2014 - 17:00 ;Quarter-finals;Arena Fonte Nova;Salvador ;Netherlands;0.0;0.0;Costa Rica;Netherlands win on penalties (4 - 3) ;51179.0;0.0;0.0;Ravshan IRMATOV (UZB);RASULOV Abduxamidullo (UZB);KOCHKAROV Bakhadyr (KGZ);255953.0;300186488.0;NED;CRC;Netherlands;15.0;4.0
2014.0;08 Jul 2014 - 17:00 ;Semi-finals;Estadio Mineirao;Belo Horizonte ;Brazil;1.0;7.0;Germany; ;58141.0;0.0;5.0;RODRIGUEZ Marco (MEX);TORRENTERA Marvin (MEX);QUINTERO Marcos (MEX);255955.0;300186474.0;BRA;GER;Brazil;11.0;14.0
2014.0;09 Jul 2014 - 17:00 ;Semi-finals;Arena de Sao Paulo;Sao Paulo ;Netherlands;0.0;0.0;Argentina;Argentina win on penalties (2 - 4) ;63267.0;0.0;0.0;C�neyt �AKIR (TUR);DURAN Bahattin (TUR);ONGUN Tarik (TUR);255955.0;300186490.0;NED;ARG;Netherlands;15.0;4.0
2014.0;12 Jul 2014 - 17:00 ;Play-off for third place;Estadio Nacional;Brasilia ;Brazil;0.0;3.0;Netherlands; ;68034.0;0.0;2.0;HAIMOUDI Djamel (ALG);ACHIK Redouane (MAR);ETCHIALI Abdelhak (ALG);255957.0;300186502.0;BRA;NED;Brazil;11.0;14.0
2014.0;13 Jul 2014 - 16:00 ;Final;Estadio do Maracana;Rio De Janeiro ;Germany;1.0;0.0;Argentina;Germany win after extra time ;74738.0;0.0;0.0;Nicola RIZZOLI (ITA);Renato FAVERANI (ITA);Andrea STEFANI (ITA);255959.0;300186501.0;GER;ARG;Germany;16.0;3.0
